subno,condition,torder,trialid,time,p_EA,p_TA,p_HT,perform,performd,velocityd,accelerate,wgoal,correct,incorrect,correctnc,incorrectnc,req_velocity,wta,wea,wht,,,p_Htfit
101,1,2,2,60,,,0.686,2,-2,1.714,1.714,4,2,2,2,2,0.286,4,2,-2,,,7.213
101,1,2,2,120,,,-0.062,2,-2,-0.154,-1.868,4,2,3,0,1,0.154,2,1,-2,,,3.758
101,1,2,2,180,,,-0.067,2,-2,-0.167,-0.013,4,2,6,0,3,0.167,4,2,-1,,,0.871
101,1,2,2,240,,,0.327,3,-1,0.818,0.985,4,3,6,1,0,0.182,3,2,-1,,,1.762
101,1,2,2,300,,,0.36,4,0,0.9,0.082,4,4,6,1,0,0.1,1,2,0,,,0.13
101,1,2,2,360,,,0,4,0,0,-0.9,4,4,6,0,0,0,3,3,-1,,,1
101,1,2,2,420,,,0.4,5,1,1,1,4,5,6,1,0,0,4,2,-1,,,1.96
101,1,2,2,480,,,0.4,6,2,1,0,4,6,6,1,0,0,4,4,-1,,,1.96
101,1,2,2,540,,,0.8,8,4,2,1,4,8,6,2,0,0,3,3,1,,,0.04
101,1,2,2,600,,,0.4,9,5,1,-1,4,9,6,1,0,0,3,3,1,,,0.36
101,1,2,2,660,,,0,9,5,0,-1,4,9,7,0,1,0,3,3,1,,,1
101,1,2,2,720,,,0,9,5,0,0,4,9,9,0,2,0,4,4,0,,,0
101,1,2,2,780,,,0.4,10,6,1,1,4,10,10,1,1,0,4,4,1,,,0.36
101,1,2,2,840,,,0,10,6,0,-1,4,10,10,0,0,0,3,3,1,,,1
101,1,3,4,60,,,0.457,2,-10,1.143,1.143,12,2,1,2,1,0.857,5,3,0,,,0.209
101,1,3,4,120,,,0.092,3,-9,0.231,-0.912,12,3,3,1,2,0.769,5,3,0,,,0.009
101,1,3,4,180,,,0.1,4,-8,0.25,0.019,12,4,3,1,0,0.75,5,5,0,,,0.01
101,1,3,4,240,,,0.109,5,-7,0.273,0.023,12,5,4,1,1,0.727,5,5,0,,,0.012
101,1,3,4,300,,,-0.28,5,-7,-0.7,-0.973,12,5,5,0,1,0.7,5,5,0,,,0.078
101,1,3,4,360,,,-0.311,5,-7,-0.778,-0.078,12,5,5,0,0,0.778,5,5,0,,,0.097
101,1,3,4,420,,,0.05,6,-6,0.125,0.903,12,6,5,1,0,0.875,5,5,0,,,0.003
