subno,condition,trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14
101,1,2,6,4,3,1,1,0,1,1,2,1,1,4,2,0
101,1,3,6,3,2,3,1,0,2,2,3,3,3,2,0,0
101,1,4,5,3,1,4,1,1,2,3,3,1,3,3,2,0
101,1,5,6,3,1,3,2,0,2,3,3,3,4,3,0,0
101,1,6,5,0,3,3,0,1,1,2,2,2,3,2,0,0
102,-1,2,6,5,1,2,2,0,2,3,3,4,4,2,1,0
102,-1,3,5,1,3,3,2,1,1,3,4,3,4,4,0,0
102,-1,4,6,3,3,3,2,0,2,3,5,5,2,2,0,0
102,-1,5,5,4,2,3,3,1,2,4,2,1,3,2,2,0
102,-1,6,6,4,2,1,1,0,1,1,3,3,2,5,2,0
103,1,2,5,3,3,4,2,1,1,3,3,3,4,3,2,0
103,1,3,6,3,3,4,2,0,2,3,5,5,3,3,1,0
103,1,4,5,4,2,3,3,1,2,3,3,3,3,2,2,0
103,1,5,6,4,2,2,3,0,2,3,4,3,4,2,1,0
103,1,6,6,4,2,1,1,0,1,1,3,3,1,5,2,0
104,-1,2,6,5,1,2,2,0,2,3,4,4,4,2,1,0
104,-1,3,5,3,2,2,3,1,2,3,3,1,3,3,2,0
104,-1,4,6,3,2,2,2,0,2,3,5,3,3,2,1,0
104,-1,5,5,1,3,4,2,1,1,2,3,3,4,2,2,0
104,-1,6,6,4,2,1,1,0,1,1,3,2,2,4,2,0
105,1,2,6,4,4,4,3,0,2,3,5,4,4,2,2,0
105,1,3,6,5,4,1,1,0,1,1,4,3,1,4,3,0
105,1,4,5,1,4,4,2,1,1,3,4,3,5,4,2,0
105,1,5,6,4,2,2,3,0,2,3,4,5,5,3,1,0
105,1,6,5,4,3,2,3,1,2,4,4,2,3,3,1,0
106,-1,2,6,4,4,3,3,0,2,3,5,5,4,3,1,0
106,-1,3,6,4,2,1,1,0,1,2,2,2,1,5,3,0
106,-1,4,6,4,1,2,2,0,2,3,3,4,4,2,1,0
106,-1,5,5,1,3,3,0,1,1,2,2,1,4,3,1,0
106,-1,6,5,3,2,2,3,1,2,4,4,3,2,2,1,0
107,1,2,5,1,3,4,2,1,1,3,3,2,4,4,2,0
107,1,3,5,4,2,2,2,1,2,4,2,1,3,3,1,0
107,1,4,6,3,1,2,3,0,2,2,3,3,3,2,1,0
107,1,5,6,4,2,3,1,0,2,3,4,3,2,2,0,0
107,1,6,6,4,1,1,1,0,1,0,3,1,2,4,2,0
108,-1,2,6,4,3,1,1,0,1,2,2,3,1,5,4,0
108,-1,3,5,2,3,4,3,1,1,3,3,3,4,4,2,0
