subno,condition,goal,correct,trialno
1,1,2,0,1
1,1,2,2,2
1,1,2,2,3
1,1,4,4,4
1,1,4,2,5
1,1,2,0,6
1,1,2,4,7
1,1,4,2,8
1,1,2,4,9
1,1,4,4,10
2,-1,4,3,1
2,-1,4,5,2
2,-1,6,7,3
2,-1,6,5,4
2,-1,6,6,5
2,-1,6,9,6
2,-1,8,8,7
2,-1,8,4,8
2,-1,8,9,9
2,-1,10,10,10
3,-1,6,5,1
3,-1,6,8,2
3,-1,8,5,3
3,-1,8,5,4
3,-1,8,8,5
3,-1,8,9,6
3,-1,8,8,7
3,-1,8,9,8
3,-1,10,6,9
3,-1,10,9,10
4,1,6,7,1
4,1,6,6,2
4,1,8,8,3
4,1,8,8,4
4,1,8,8,5
4,1,8,9,6
4,1,8,10,7
4,1,10,9,8
4,1,10,9,9
4,1,10,10,10
5,-1,2,5,1
5,-1,2,3,2
5,-1,2,5,3
5,-1,2,5,4
5,-1,2,5,5
5,-1,2,7,6
5,-1,4,2,7
5,-1,2,6,8
5,-1,4,2,9
5,-1,2,8,10
6,1,4,5,1
6,1,4,5,2
6,1,6,6,3
6,1,6,8,4
6,1,8,6,5
6,1,6,8,6
6,1,8,10,7
6,1,10,9,8
6,1,10,8,9
6,1,10,9,10
7,-1,4,2,1
7,-1,4,3,2
7,-1,4,5,3
7,-1,6,5,4
7,-1,4,7,5
7,-1,4,8,6
7,-1,8,7,7
7,-1,8,6,8
7,-1,8,6,9
7,-1,6,9,10
8,1,10,6,1
8,1,10,8,2
8,1,8,4,3
8,1,10,9,4
8,1,10,10,5
8,1,10,8,6
8,1,8,10,7
8,1,10,8,8
8,1,10,10,9
8,1,10,10,10
9,-1,6,7,1
9,-1,6,9,2
9,-1,8,7,3
9,-1,8,8,4
9,-1,8,8,5
9,-1,8,10,6
9,-1,8,8,7
9,-1,8,9,8
9,-1,8,10,9
9,-1,8,9,10
10,1,4,1,1
10,1,2,6,2
10,1,6,8,3
10,1,8,5,4
10,1,6,6,5
10,1,8,7,6
10,1,8,8,7
10,1,8,9,8
10,1,8,7,9
10,1,8,8,10
11,-1,8,3,1
11,-1,4,7,2
11,-1,8,8,3
11,-1,8,6,4
11,-1,6,8,5
11,-1,8,9,6
11,-1,8,10,7
11,-1,8,6,8
11,-1,8,6,9
11,-1,8,7,10
12,1,4,7,1
12,1,8,7,2
12,1,6,5,3
12,1,4,4,4
12,1,4,5,5
12,1,4,6,6
12,1,4,8,7
12,1,6,8,8
12,1,6,5,9
12,1,6,5,10
13,-1,2,5,1
13,-1,2,4,2
13,-1,2,6,3
13,-1,4,8,4
13,-1,6,7,5
13,-1,6,10,6
13,-1,6,7,7
13,-1,6,8,8
13,-1,6,9,9
13,-1,6,7,10
14,1,10,5,1
14,1,8,7,2
14,1,6,8,3
14,1,8,8,4
14,1,8,9,5
14,1,8,8,6
14,1,8,9,7
14,1,8,9,8
14,1,8,9,9
14,1,8,9,10
15,-1,4,9,1
15,-1,6,9,2
15,-1,8,9,3
15,-1,8,9,4
15,-1,8,8,5
15,-1,8,9,6
15,-1,8,8,7
15,-1,8,8,8
15,-1,8,7,9
15,-1,8,7,10
16,1,6,3,1
16,1,4,3,2
16,1,4,4,3
16,1,4,4,4
16,1,4,4,5
16,1,4,4,6
16,1,4,5,7
16,1,4,5,8
16,1,6,4,9
16,1,4,4,10
17,-1,4,2,1
17,-1,4,5,2
17,-1,4,5,3
17,-1,4,5,4
17,-1,4,8,5
17,-1,6,5,6
17,-1,4,7,7
17,-1,6,5,8
17,-1,4,7,9
17,-1,6,8,10
18,1,6,7,1
18,1,6,9,2
18,1,8,10,3
18,1,8,9,4
18,1,8,9,5
18,1,8,10,6
18,1,8,10,7
18,1,8,9,8
18,1,8,10,9
18,1,8,10,10
19,-1,6,6,1
19,-1,6,6,2
19,-1,6,6,3
19,-1,6,5,4
19,-1,6,6,5
19,-1,6,10,6
