subno,condition,torder,tid,time,diff,eff,wgcon,wgcom,wta,wea,correct,incorrect,goal,wfocalgpd,correctnc,incorrectnc,wtlin
100,-1,2,10,60,9,9,0,8,5,4,0,2,2,-2,0,2,-2
100,-1,2,10,120,9,7,1,8,4,4,0,5,2,-2,0,3,-1
100,-1,2,10,180,9,9,0,8,5,5,0,5,2,-2,0,0,0
100,-1,2,10,240,9,7,0,6,3,3,0,8,2,-2,0,3,1
100,-1,2,10,300,10,6,0,4,4,2,0,10,2,-2,0,2,2
100,-1,3,11,60,8,8,3,7,1,1,1,0,2,-1,1,0,-2
100,-1,3,11,120,10,9,1,5,1,-2,1,4,2,-1,0,4,-1
100,-1,3,11,180,10,8,0,2,-2,-2,1,6,2,-1,0,2,0
100,-1,3,11,240,10,10,0,3,-2,-3,1,6,2,-1,0,0,1
100,-1,3,11,300,8,8,8,8,-2,-3,2,8,2,0,1,2,2
100,-1,4,9,60,8,7,2,7,-3,-3,1,1,2,-1,1,1,-2
100,-1,4,9,120,9,9,1,6,-1,-4,1,3,2,-1,0,2,-1
100,-1,4,9,180,10,7,0,4,-1,-3,1,5,2,-1,0,2,0
100,-1,4,9,240,10,9,0,2,-3,-5,1,7,2,-1,0,2,1
100,-1,4,9,300,10,5,8,1,-4,-5,2,8,2,0,1,1,2
100,-1,5,6,60,9,8,1,5,-2,-4,1,2,4,-3,1,2,-2
100,-1,5,6,120,7,6,6,4,-4,-5,1,3,4,-3,0,1,-1
100,-1,5,6,180,9,7,2,4,-1,-5,2,5,4,-2,1,2,0
100,-1,5,6,240,9,9,3,6,-2,1,3,5,4,-1,1,0,1
100,-1,5,6,300,8,7,8,6,1,1,4,6,4,0,1,1,2
100,-1,6,3,60,8,8,2,3,2,-2,0,3,4,-4,0,3,-2
100,-1,6,3,120,9,6,2,2,0,-3,0,5,4,-4,0,2,-1
100,-1,6,3,180,8,7,3,2,1,-3,1,6,4,-3,1,1,0
100,-1,6,3,240,6,4,3,2,-2,-3,2,7,4,-2,1,1,1
100,-1,6,3,300,7,1,1,1,-2,-3,2,8,4,-2,0,1,2
100,-1,7,1,60,6,4,2,3,-2,-3,0,2,2,-2,0,2,-2
100,-1,7,1,120,8,3,1,2,0,-3,0,4,2,-2,0,2,-1
100,-1,7,1,180,8,1,1,1,-1,-4,0,5,2,-2,0,1,0
100,-1,7,1,240,8,6,1,1,-2,-4,0,7,2,-2,0,2,1
100,-1,7,1,300,7,5,0,0,-3,-5,0,10,2,-2,0,3,2
100,-1,8,7,60,7,5,9,3,-2,-2,2,2,2,0,2,2,-2
100,-1,8,7,120,7,5,9,2,0,-2,2,3,2,0,0,1,-1
100,-1,8,7,180,7,4,10,5,-2,-2,3,3,2,1,1,0,0
100,-1,8,7,240,8,7,10,7,-1,-2,4,4,2,2,1,1,1
100,-1,8,7,300,9,9,9,9,-2,-4,4,6,2,2,0,2,2
100,-1,9,4,60,7,6,3,2,-3,-4,1,1,4,-3,1,1,-2
100,-1,9,4,120,7,4,3,2,0,-2,1,4,4,-3,0,3,-1
100,-1,9,4,180,8,7,4,3,-4,-3,2,5,4,-2,1,1,0
100,-1,9,4,240,9,6,5,3,-3,-3,2,5,4,-2,0,0,1
100,-1,9,4,300,7,6,3,2,-2,-4,2,7,4,-2,0,2,2
100,-1,10,2,60,7,5,4,3,-3,-4,1,3,2,-1,1,3,-2
100,-1,10,2,120,6,4,10,3,-3,-3,2,3,2,0,1,0,-1
100,-1,10,2,180,6,5,4,3,-3,-4,2,6,2,0,0,3,0
100,-1,10,2,240,5,4,2,1,-4,-3,3,6,2,1,1,0,1
100,-1,10,2,300,4,5,10,10,-2,-2,4,6,2,2,1,0,2
100,-1,11,8,60,7,6,5,4,-2,-4,0,3,4,-4,0,3,-2
100,-1,11,8,120,4,1,0,0,-4,-5,1,4,4,-3,1,1,-1
100,-1,11,8,180,6,5,3,2,-4,-4,2,5,4,-2,1,1,0
100,-1,11,8,240,8,5,3,2,-4,-4,3,6,4,-1,1,1,1
100,-1,11,8,300,7,6,5,3,-3,-4,4,6,4,0,1,0,2
101,1,2,3,60,7,7,7,7,0,0,1,1,6,5,1,1,-2
101,1,2,3,120,5,5,5,5,0,0,1,3,6,3,0,2,-1
101,1,2,3,180,5,8,8,8,0,0,3,4,6,2,2,1,0
101,1,2,3,240,8,8,6,8,0,0,3,6,6,0,0,2,1
101,1,2,3,300,8,8,0,8,-1,-1,3,7,6,-1,0,1,2
101,1,3,10,60,3,8,8,8,1,1,3,0,6,6,3,0,-2
101,1,3,10,120,8,8,8,8,1,1,5,0,6,6,2,0,-1
