"subject","condition","goal","performance","trial"
1,"approach",2,0,1
1,"approach",2,2,2
1,"approach",2,2,3
1,"approach",4,4,4
1,"approach",4,2,5
1,"approach",2,0,6
1,"approach",2,4,7
1,"approach",4,2,8
1,"approach",2,4,9
1,"approach",4,4,10
2,"avoidance",4,3,1
2,"avoidance",4,5,2
2,"avoidance",6,7,3
2,"avoidance",6,5,4
2,"avoidance",6,6,5
2,"avoidance",6,9,6
2,"avoidance",8,8,7
2,"avoidance",8,4,8
2,"avoidance",8,9,9
2,"avoidance",10,10,10
3,"avoidance",6,5,1
3,"avoidance",6,8,2
3,"avoidance",8,5,3
3,"avoidance",8,5,4
3,"avoidance",8,8,5
3,"avoidance",8,9,6
3,"avoidance",8,8,7
3,"avoidance",8,9,8
3,"avoidance",10,6,9
3,"avoidance",10,9,10
4,"approach",6,7,1
4,"approach",6,6,2
4,"approach",8,8,3
4,"approach",8,8,4
4,"approach",8,8,5
4,"approach",8,9,6
4,"approach",8,10,7
4,"approach",10,9,8
4,"approach",10,9,9
4,"approach",10,10,10
5,"avoidance",2,5,1
5,"avoidance",2,3,2
5,"avoidance",2,5,3
5,"avoidance",2,5,4
5,"avoidance",2,5,5
5,"avoidance",2,7,6
5,"avoidance",4,2,7
5,"avoidance",2,6,8
5,"avoidance",4,2,9
5,"avoidance",2,8,10
6,"approach",4,5,1
6,"approach",4,5,2
6,"approach",6,6,3
6,"approach",6,8,4
6,"approach",8,6,5
6,"approach",6,8,6
6,"approach",8,10,7
6,"approach",10,9,8
6,"approach",10,8,9
6,"approach",10,9,10
7,"avoidance",4,2,1
7,"avoidance",4,3,2
7,"avoidance",4,5,3
7,"avoidance",6,5,4
7,"avoidance",4,7,5
7,"avoidance",4,8,6
7,"avoidance",8,7,7
7,"avoidance",8,6,8
7,"avoidance",8,6,9
7,"avoidance",6,9,10
8,"approach",10,6,1
8,"approach",10,8,2
8,"approach",8,4,3
8,"approach",10,9,4
8,"approach",10,10,5
8,"approach",10,8,6
8,"approach",8,10,7
8,"approach",10,8,8
8,"approach",10,10,9
8,"approach",10,10,10
9,"avoidance",6,7,1
9,"avoidance",6,9,2
9,"avoidance",8,7,3
9,"avoidance",8,8,4
9,"avoidance",8,8,5
9,"avoidance",8,10,6
9,"avoidance",8,8,7
9,"avoidance",8,9,8
9,"avoidance",8,10,9
9,"avoidance",8,9,10
10,"approach",4,1,1
10,"approach",2,6,2
10,"approach",6,8,3
10,"approach",8,5,4
10,"approach",6,6,5
10,"approach",8,7,6
10,"approach",8,8,7
10,"approach",8,9,8
10,"approach",8,7,9
10,"approach",8,8,10
11,"avoidance",8,3,1
11,"avoidance",4,7,2
11,"avoidance",8,8,3
11,"avoidance",8,6,4
11,"avoidance",6,8,5
11,"avoidance",8,9,6
11,"avoidance",8,10,7
11,"avoidance",8,6,8
11,"avoidance",8,6,9
11,"avoidance",8,7,10
12,"approach",4,7,1
12,"approach",8,7,2
12,"approach",6,5,3
12,"approach",4,4,4
12,"approach",4,5,5
12,"approach",4,6,6
12,"approach",4,8,7
12,"approach",6,8,8
12,"approach",6,5,9
12,"approach",6,5,10
13,"avoidance",2,5,1
13,"avoidance",2,4,2
13,"avoidance",2,6,3
13,"avoidance",4,8,4
13,"avoidance",6,7,5
13,"avoidance",6,10,6
13,"avoidance",6,7,7
13,"avoidance",6,8,8
13,"avoidance",6,9,9
13,"avoidance",6,7,10
14,"approach",10,5,1
14,"approach",8,7,2
14,"approach",6,8,3
14,"approach",8,8,4
14,"approach",8,9,5
14,"approach",8,8,6
14,"approach",8,9,7
14,"approach",8,9,8
14,"approach",8,9,9
14,"approach",8,9,10
15,"avoidance",4,9,1
15,"avoidance",6,9,2
15,"avoidance",8,9,3
15,"avoidance",8,9,4
15,"avoidance",8,8,5
15,"avoidance",8,9,6
15,"avoidance",8,8,7
15,"avoidance",8,8,8
15,"avoidance",8,7,9
15,"avoidance",8,7,10
16,"approach",6,3,1
16,"approach",4,3,2
16,"approach",4,4,3
16,"approach",4,4,4
16,"approach",4,4,5
16,"approach",4,4,6
16,"approach",4,5,7
16,"approach",4,5,8
16,"approach",6,4,9
16,"approach",4,4,10
17,"avoidance",4,2,1
17,"avoidance",4,5,2
17,"avoidance",4,5,3
17,"avoidance",4,5,4
17,"avoidance",4,8,5
17,"avoidance",6,5,6
17,"avoidance",4,7,7
17,"avoidance",6,5,8
17,"avoidance",4,7,9
17,"avoidance",6,8,10
18,"approach",6,7,1
18,"approach",6,9,2
18,"approach",8,10,3
18,"approach",8,9,4
18,"approach",8,9,5
18,"approach",8,10,6
18,"approach",8,10,7
18,"approach",8,9,8
18,"approach",8,10,9
18,"approach",8,10,10
19,"avoidance",6,6,1
19,"avoidance",6,6,2
19,"avoidance",6,6,3
19,"avoidance",6,5,4
19,"avoidance",6,6,5
19,"avoidance",6,10,6
