"subject","condition","goal","performance"
1,"approach",2,0
1,"approach",2,2
1,"approach",2,2
1,"approach",4,4
1,"approach",4,2
1,"approach",2,0
1,"approach",2,4
1,"approach",4,2
1,"approach",2,4
1,"approach",4,4
2,"avoidance",4,3
2,"avoidance",4,5
2,"avoidance",6,7
2,"avoidance",6,5
2,"avoidance",6,6
2,"avoidance",6,9
2,"avoidance",8,8
2,"avoidance",8,4
2,"avoidance",8,9
2,"avoidance",10,10
3,"avoidance",6,5
3,"avoidance",6,8
3,"avoidance",8,5
3,"avoidance",8,5
3,"avoidance",8,8
3,"avoidance",8,9
3,"avoidance",8,8
3,"avoidance",8,9
3,"avoidance",10,6
3,"avoidance",10,9
4,"approach",6,7
4,"approach",6,6
4,"approach",8,8
4,"approach",8,8
4,"approach",8,8
4,"approach",8,9
4,"approach",8,10
4,"approach",10,9
4,"approach",10,9
4,"approach",10,10
5,"avoidance",2,5
5,"avoidance",2,3
5,"avoidance",2,5
5,"avoidance",2,5
5,"avoidance",2,5
5,"avoidance",2,7
5,"avoidance",4,2
5,"avoidance",2,6
5,"avoidance",4,2
5,"avoidance",2,8
6,"approach",4,5
6,"approach",4,5
6,"approach",6,6
6,"approach",6,8
6,"approach",8,6
6,"approach",6,8
6,"approach",8,10
6,"approach",10,9
6,"approach",10,8
6,"approach",10,9
7,"avoidance",4,2
7,"avoidance",4,3
7,"avoidance",4,5
7,"avoidance",6,5
7,"avoidance",4,7
7,"avoidance",4,8
7,"avoidance",8,7
7,"avoidance",8,6
7,"avoidance",8,6
7,"avoidance",6,9
8,"approach",10,6
8,"approach",10,8
8,"approach",8,4
8,"approach",10,9
8,"approach",10,10
8,"approach",10,8
8,"approach",8,10
8,"approach",10,8
8,"approach",10,10
8,"approach",10,10
9,"avoidance",6,7
9,"avoidance",6,9
9,"avoidance",8,7
9,"avoidance",8,8
9,"avoidance",8,8
9,"avoidance",8,10
9,"avoidance",8,8
9,"avoidance",8,9
9,"avoidance",8,10
9,"avoidance",8,9
10,"approach",4,1
10,"approach",2,6
10,"approach",6,8
10,"approach",8,5
10,"approach",6,6
10,"approach",8,7
10,"approach",8,8
10,"approach",8,9
10,"approach",8,7
10,"approach",8,8
11,"avoidance",8,3
11,"avoidance",4,7
11,"avoidance",8,8
11,"avoidance",8,6
11,"avoidance",6,8
11,"avoidance",8,9
11,"avoidance",8,10
11,"avoidance",8,6
11,"avoidance",8,6
11,"avoidance",8,7
12,"approach",4,7
12,"approach",8,7
12,"approach",6,5
12,"approach",4,4
12,"approach",4,5
12,"approach",4,6
12,"approach",4,8
12,"approach",6,8
12,"approach",6,5
12,"approach",6,5
13,"avoidance",2,5
13,"avoidance",2,4
13,"avoidance",2,6
13,"avoidance",4,8
13,"avoidance",6,7
13,"avoidance",6,10
13,"avoidance",6,7
13,"avoidance",6,8
13,"avoidance",6,9
13,"avoidance",6,7
14,"approach",10,5
14,"approach",8,7
14,"approach",6,8
14,"approach",8,8
14,"approach",8,9
14,"approach",8,8
14,"approach",8,9
14,"approach",8,9
14,"approach",8,9
14,"approach",8,9
15,"avoidance",4,9
15,"avoidance",6,9
15,"avoidance",8,9
15,"avoidance",8,9
15,"avoidance",8,8
15,"avoidance",8,9
15,"avoidance",8,8
15,"avoidance",8,8
15,"avoidance",8,7
15,"avoidance",8,7
16,"approach",6,3
16,"approach",4,3
16,"approach",4,4
16,"approach",4,4
16,"approach",4,4
16,"approach",4,4
16,"approach",4,5
16,"approach",4,5
16,"approach",6,4
16,"approach",4,4
17,"avoidance",4,2
17,"avoidance",4,5
17,"avoidance",4,5
17,"avoidance",4,5
17,"avoidance",4,8
17,"avoidance",6,5
17,"avoidance",4,7
17,"avoidance",6,5
17,"avoidance",4,7
17,"avoidance",6,8
18,"approach",6,7
18,"approach",6,9
18,"approach",8,10
18,"approach",8,9
18,"approach",8,9
18,"approach",8,10
18,"approach",8,10
18,"approach",8,9
18,"approach",8,10
18,"approach",8,10
19,"avoidance",6,6
19,"avoidance",6,6
19,"avoidance",6,6
19,"avoidance",6,5
19,"avoidance",6,6
19,"avoidance",6,10
19,"avoidance",8,8
19,"avoidance",8,5
19,"avoidance",6,2
19,"avoidance",6,6
20,"approach",2,5
20,"approach",6,6
20,"approach",8,6
20,"approach",8,5
20,"approach",6,8
20,"approach",8,8
20,"approach",8,5
20,"approach",8,8
