"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha",0.306634736323562,0.00198725207103541,0.0869489929256829,0.151942541622558,0.243145951412637,0.301659159921599,0.363327254701782,0.491203942853841,1914.35816921197,1.00113577632188
"effort_baseline",6.31956938703386,0.00497947722164042,0.202421074802236,5.9894504587004,6.18865849022179,6.30336656870626,6.42500487218136,6.75810434816829,1652.50945462321,1.00321669964315
"gamma",0.117433701219115,0.000708869846748662,0.0296987421782443,0.0599074545744416,0.0977231892153321,0.116806896059996,0.136652544008256,0.176118716654311,1755.26666918251,1.00102500606099
"effort_0",6.5765752942407,0.00163739275822724,0.0976485570661257,6.39168331120112,6.51111963295227,6.57537091210412,6.64208401449224,6.76664122301983,3556.52552377236,0.99963628010426
"delta",0.0760826419990422,0.000267693954741538,0.0152944597377347,0.0528925732047435,0.0649062703967401,0.0742484574490312,0.0846801863156657,0.111081955661486,3264.30818222541,1.00048314169627
"gain20",-15.4096237788321,0.0422913189668887,1.87559304574126,-19.4494537069175,-16.5951343506881,-15.2268294394695,-14.1238413204472,-12.1601848962037,1966.86597570769,1.00000285081267
"gain21",2.25641256425284,0.0067905807306448,0.295545866081475,1.72843656607948,2.0538143250591,2.23224452341213,2.44588748963182,2.87455186304564,1894.24410626721,0.999987404984807
"gain22",4.61810206124157,0.0180601551952414,0.957333662011797,3.05113365777186,3.94122231435584,4.50821220440338,5.19241109199905,6.78932537285602,2809.85367248537,1.00005134731358
"gain23",3.24740519171921,0.00914655568218994,0.517755204347251,2.29252753358277,2.8830687442051,3.22998454380175,3.58833473437515,4.29368727524151,3204.30450814818,1.00034296425696
"theta",0.564902629407675,0.00390287791198851,0.21718607252973,0.14092550848036,0.405453041388984,0.563603629203428,0.727063324387186,0.954649575087604,3096.66347394165,1.00061900676132
"lambda",0.303236554870597,0.00451482060801261,0.241199519310351,-0.158876123270896,0.153243499808283,0.29533407561199,0.455034735484616,0.803022128911792,2854.11769732656,1.00060110576668
"goal_0",4.81534669099392,0.00456253391321618,0.266130229561514,4.29324043431462,4.63914493146659,4.81468135250035,4.98834749479433,5.34780768685334,3402.32820948792,0.99943671255175
"sigma_effort_0",2.43888243791476,0.00100765348174079,0.0689018987200267,2.30974398156076,2.39084877649815,2.43719188330873,2.48365334917532,2.5751123221662,4675.62810006776,0.999559634772975
"sigma_effort_change",1.68979920086606,0.00035525170207096,0.0246168579166319,1.64273300080813,1.6728415959032,1.68932888402989,1.70612713181209,1.7373987674005,4801.67656582587,0.999459939977405
"sigma_performance_change",0.928136656208232,0.000168242590639212,0.0120196860263218,0.905208188209556,0.919897475581812,0.927912983876661,0.936215518471181,0.95165731315426,5104.04332852859,0.999564530899098
"sigma_goal_0",2.05961746387497,0.00286792088484778,0.183008969984934,1.73496083730523,1.93288264942404,2.04259089979223,2.1771435784544,2.46803623557397,4072.02485521912,0.999725157918514
"sigma_goal_change",1.46907797683552,0.000640658819118691,0.0449469936625204,1.38108433876759,1.43792546493987,1.46852554031125,1.49925003576806,1.55966443882204,4922.06879647674,0.999325972520116
"lp__",-5145.06695615058,0.0805640907423881,3.09223365544628,-5152.14448062389,-5146.92875877164,-5144.67304407736,-5142.87123264107,-5140.03402209743,1473.19957676656,1.00370134252714
