"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"alpha" 0.474242069748346 0.00304807862345188 0.134360196959494 0.245329775311304 0.379761203698566 0.463371990739395 0.558179022650687 0.770502983936409 1943.07217747788 0.999193212870536
"effort_baseline" 6.12118496638868 0.00301524885569993 0.152774998770548 5.83475643847505 6.01973922748223 6.11408173225123 6.22236690038034 6.43037717169493 2567.19143510988 1.0000545800127
"gamma" 0.0545187922126383 0.000970163679160786 0.0424951805140316 -0.0345766301370882 0.0269967568094511 0.0564762457793948 0.0847055515317583 0.129532522562409 1918.62161873561 0.999173041914894
"effort_0" 6.57915078354564 0.00157327223329578 0.100046004642717 6.38586782007913 6.51211549808518 6.5801650935143 6.6458678883636 6.77466555400081 4043.8193274216 0.999604024251359
"delta" 0.436702327197199 0.00292049581047151 0.134191163356337 0.232045402085787 0.33102168565974 0.423556711962845 0.523273762203879 0.726883291543265 2111.2256849272 0.999590841160937
"skill_max" 10.8458033499756 0.0378588839411597 2.64203289593585 6.50977868619984 8.96386644590704 10.5892421932308 12.4109909485118 16.7629686936653 4870.1330633044 0.999539743605186
"gain20" -15.1839865171358 0.0359126602245232 1.78288716709066 -18.9443336076388 -16.3265143199182 -15.0800650961352 -13.8994302985573 -12.048258253156 2464.63473468681 1.00061559868603
"gain21" 2.13064558047373 0.00565765342680685 0.281630591664713 1.63039233416492 1.93125314070166 2.11229703974884 2.31130747455286 2.73008575431963 2477.91825270326 1.00043423017887
"theta" 0.236950811097401 0.00143556278755166 0.0898055607170159 0.0636610512632288 0.177587678127136 0.235909588677817 0.29512929774654 0.416004898537927 3913.47058113256 1.00012348337203
"lambda" 0.226586484257712 0.00239242910412149 0.147304847348956 -0.0798728818932434 0.137534591264673 0.230197956935027 0.320078030509064 0.50993507102509 3791.01866554942 0.999390222654625
"goal_0" 4.82309917193043 0.00413847061282976 0.27508777750847 4.28436041545844 4.64183920756269 4.82517902876944 5.00346584860988 5.37672136553798 4418.37769586157 0.999336506302898
"sigma_effort_0" 2.44066695598484 0.000962674237542459 0.0696164718712734 2.30843097919098 2.3921751771454 2.44012689647132 2.48611066362896 2.58504183191479 5229.562045718 1.00109016366053
"sigma_effort_change" 1.68981203724448 0.000316770855492072 0.0248524512861513 1.64392803433911 1.67291207747049 1.68923040362807 1.70647363004894 1.73910786369304 6155.28303188371 0.999364357499144
"sigma_performance_change" 0.938373746126026 0.000169922485228208 0.0122501804795461 0.91511312105917 0.929819645615513 0.937925277961959 0.946544415236152 0.962460219897646 5197.36564847777 0.999466982948061
"sigma_goal_0" 2.06011349032655 0.00247419888282973 0.178713193885687 1.74558512222348 1.93345307911883 2.049352062558 2.17579864885981 2.44220343122769 5217.27849726265 0.999206332483322
"sigma_goal_change" 1.46797017272465 0.000645316467534895 0.0444307206358908 1.38361582374126 1.43798102898352 1.46687719011497 1.49721316637733 1.56044914934463 4740.46799594651 0.99956618009556
"lp__" -5173.20591746867 0.0744656960618902 2.94521696892601 -5179.67110285355 -5175.01802176052 -5172.80956806658 -5171.03206098447 -5168.53830790625 1564.30733329582 1.00154271333725
